data 2020-11-17 13:57:11 , accessi 132 , mappa:  161 , grafico:  107 , downdati:  107 , downgrafico:  107
data 2020-11-17 13:57:24 , accessi 132 , mappa:  162 , grafico:  107 , downdati:  107 , downgrafico:  107
data 2020-11-17 13:58:59 , accessi 132 , mappa:  163 , grafico:  107 , downdati:  107 , downgrafico:  107
data 2020-11-17 14:00:16 , accessi 132 , mappa:  164 , grafico:  107 , downdati:  107 , downgrafico:  107
data 2020-11-17 14:12:25 , accessi 133 , mappa:  164 , grafico:  107 , downdati:  107 , downgrafico:  107
data 2020-11-17 14:13:13 , accessi 133 , mappa:  164 , grafico:  108 , downdati:  107 , downgrafico:  107
data 2020-11-17 14:13:13 , accessi 133 , mappa:  164 , grafico:  108 , downdati:  108 , downgrafico:  107
data 2020-11-17 14:13:13 , accessi 133 , mappa:  164 , grafico:  108 , downdati:  108 , downgrafico:  108
data 2020-11-17 14:20:15 , accessi 135 , mappa:  164 , grafico:  108 , downdati:  108 , downgrafico:  108
data 2020-11-17 18:13:33 , accessi 137 , mappa:  164 , grafico:  108 , downdati:  108 , downgrafico:  108
data 2020-11-17 18:16:09 , accessi 137 , mappa:  165 , grafico:  108 , downdati:  108 , downgrafico:  108
data 2020-11-17 18:16:34 , accessi 137 , mappa:  166 , grafico:  108 , downdati:  108 , downgrafico:  108
data 2020-11-17 18:17:29 , accessi 137 , mappa:  166 , grafico:  109 , downdati:  108 , downgrafico:  108
data 2020-11-17 18:17:29 , accessi 137 , mappa:  166 , grafico:  109 , downdati:  109 , downgrafico:  108
data 2020-11-17 18:17:29 , accessi 137 , mappa:  166 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-17 18:18:47 , accessi 137 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 11:17:45 , accessi 138 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 12:34:11 , accessi 139 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 12:51:42 , accessi 140 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:46:41 , accessi 141 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:02 , accessi 142 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
data 2020-11-18 14:47:08 , accessi 143 , mappa:  167 , grafico:  109 , downdati:  109 , downgrafico:  109
